swhid,file_id,length,local_path,filename,filepath
swh:1:cnt:0003a6ed24eec3f63c260b9cb725812f7c2b2a3e,d21c2c923ce253f25a55fb224dd72794aead6a58,5560,d2,TextFormat.cpp,directwrite/TextFormat.cpp
swh:1:cnt:0003a7389b3d8547331d649e0692ce522b4e088e,8141c47cf21fb411376df03101684b51e90efa8c,18201,81,config.h,Config/config.h
swh:1:cnt:0003a7b057d4c69761a4d6163c59c471bbc88eb7,58d631968954d536b31f631a4d5a1a0f7879bb9f,3874,58,expm1.c,common_source/expm1.c
swh:1:cnt:0003a7b70ff2169192d4af3748c13c5d3a32e049,2959ee0ea725658e1c0e94d8e72306593e5e9a60,1406,29,ImplZeroVelocityBoundaryDensity.h,collisions/ImplZeroVelocityBoundaryDensity.h
swh:1:cnt:0003a7cba8bf02060921ef8ff20d868cbd63c70d,e1cb31092c021e4427536f3bc89415b2987de69d,1806,e1,qgsprocessingalgorithm.h,processing/qgsprocessingalgorithm.h
swh:1:cnt:0003a820164a581d3b755b616a01b36065b562c7,9a82cbeeb89dbbecfb94fb29d4684c487ff2ff70,6763,9a,file.h,io/file.h
swh:1:cnt:0003a830054cb67bcbf70607a136fc290d9fb32d,cf86dd20c49dba7a1e39593b04909927c861250e,114881,cf,function_objects.h,Kernel/function_objects.h
swh:1:cnt:0003a8810ae5a8c623d8be3831945c12f577f70d,7ef96fd0919049d66c76e96edadcee8266fe821f,6690,7e,modp_b64.h,src/modp_b64.h
swh:1:cnt:0003a8b4e38ff23a79852accd4266e32c46a0f8c,4e08ba75c8ff5e177f99011ea6ed21974c9ed8ab,1482,4e,end_credit_text.h,game/end_credit_text.h
swh:1:cnt:0003a8ef86ad77171ee8c0501a75bee57252b743,ca62871df0ce4b312edd71a7a7fae97869aa5c18,11416,ca,test_vectors.h,tests/test_vectors.h
swh:1:cnt:0003a8fb28f77f2a9274eaf19cdc8c7cb8b67d62,6269be75af26a3a650ea9b52fb53c74121815d3d,12300,62,SafetyChecker.cpp,checker/SafetyChecker.cpp
swh:1:cnt:0003a8ff3e233580e76662ff11b1bdabcb0e7e6e,4f7c11f49a3b6cf649e22d54baa42a914d294812,2837,4f,srv.h,srv1/srv.h
swh:1:cnt:0003a90bf3d4213e23459002274c48100f61373d,040edc05469a9a9f61011a5b301dbb855a39ac30,50895,04,phy_procedures_lte_ue.c,SCHED/phy_procedures_lte_ue.c
swh:1:cnt:0003a911c72e984307d2c5fb62dec95aa58a7ab8,8d485d902a55a257135047b6374d9c87ee66bb04,2565,8d,Menus.h,src/Menus.h
swh:1:cnt:0003a957e39d0333dcb526bee496809540b5d549,7f5efa99d84bf65b7b2a4b0b763bc14aab60f0c2,156052,7f,npc.cpp,map/npc.cpp
swh:1:cnt:0003a9db1e1f6d094d5520aa491225ba73447c31,1ac45c90f6a40e87d8fdc5e5110b3ad5aa79ba68,3772,1a,EditingViewController.h,Classes/EditingViewController.h
swh:1:cnt:0003aa0e1e93e6feaf2d72c112b297dcf28d5b66,2aed5923c8f1b66c20b6caa152d4f91836d26d5c,117323,2a,bzfs.cxx,bzfs/bzfs.cxx
swh:1:cnt:0003aa2a65eb0ef47cc16ed5b1cd027581ad3755,6af11bf641e1a6cf5292bc2a7f8ae4e44e8858b6,21323,6a,entitysystemjs.cpp,dtEntityWrappers/entitysystemjs.cpp
swh:1:cnt:0003aa2a6bdca4aeb3b94813f84d49fafe32c090,99ccaa6ac9147b9453dce112f31de568a171433d,80834,99,UTKUtils.c,UTK/UTKUtils.c
swh:1:cnt:0003aa5b3a3f7a4e220b34100066ebd6b9117025,7fb32423b80ddfffd21f69ef5312e9bd003d5856,1838,7f,run-clocktime.c,libntp/run-clocktime.c
swh:1:cnt:0003aa7a9e24997cfe2375698a98d48647f9f9fb,d4cc9d6b5fd9a8cf53ff5127940fbe78e854978d,13960,d4,loader.c,loader.c
swh:1:cnt:0003aa8e3bad89b92a0f94dcd7b16a90e1f67310,e872fdd67ed4f2d67c557c7d383722e3ed7eab22,185759,e8,xfs_bmap.c,xfs/xfs_bmap.c
swh:1:cnt:0003aa8f10b90db4c0bfeb08a2abdc8a3ff8c104,815f68318b7a204df31b058a48fbb0fd7fa10845,504119,81,upgrade.cpp,nxdbmgr/upgrade.cpp
swh:1:cnt:0003aa908f238f0df4bfe2ee46c4c24855ac86c3,da97fa81e212eeb71be168e01d1951b2b4cf7fd7,7966,da,dla_os_interface.h,nvdla/dla_os_interface.h
swh:1:cnt:0003aa917e13584d63c5fab6478d5e5861e93fdc,cdc96acd09716c3dca58be176f0e42fef9b413ba,22334,cd,mmo.h,common/mmo.h
swh:1:cnt:0003ab4bcdc1a06a9b00765c46cad0d56db21483,6d37bb1c5bb8f54267cb262c7f96070bc3f00930,17162,6d,acct_gather_profile_hdf5.c,hdf5/acct_gather_profile_hdf5.c
swh:1:cnt:0003ab7b2a05e30f579e41e5f46df58da80b598c,b50c9997243182dc116aa69c569d9e4308cd10b1,8832,b5,ScreenOptionsCourseOverview.cpp,src/ScreenOptionsCourseOverview.cpp
swh:1:cnt:0003ab8130d1467f132dd3d3a25925a44f32f991,932ba15167fdbc54be21cf0848e74bf370a177aa,1002,93,FileLogger.h,logging/FileLogger.h
swh:1:cnt:0003abe085580e713fcfc74ad260e3b96963c328,eb09fb3f5c93d3d615c7de07b55e813039903480,53081,eb,SDL_waylandwindow.c,wayland/SDL_waylandwindow.c
swh:1:cnt:0003abe8855c51c06b8da7260b62979d72c48fb1,e27ebf8643dcfff96be58616fb8e2fb048dc72f6,18468,e2,environment.cpp,dtCore/environment.cpp
swh:1:cnt:0003ac46a8f73c986b3a935d20b20db084e32f9e,93611d35ad7b930bfbab478ba23bf1bfeaaa0710,1056,93,sqr.hpp,scalar/sqr.hpp
swh:1:cnt:0003ac5bad8471d6cc665751cc9b6630fe7aafea,fee9abc2ecd1d21b6b6312fdb9da9a0d513deaba,4597,fe,update_halo_kernel2_xvel_minus_2_b_openacc_kernel.cpp,OpenACC/update_halo_kernel2_xvel_minus_2_b_openacc_kernel.cpp
swh:1:cnt:0003ac74ebe6902c39aad3ae05df4cb35a193ae1,9cf07ff5f820a29034b35e236c31bb3480774fdb,2289,9c,comment-list.cc,src/comment-list.cc
swh:1:cnt:0003ac79fc60de1ae6c2c10ca1576ef8852f6a7e,ee27ff6716ee9dbcc22416d666388830c84fb024,2890,ee,Vector.cpp,src/Vector.cpp
